code,country,year,population,gdp,human_capital,polity
CRI,Costa Rica,2017,1.5904118332930444,11.186821293721147,2.6579580307006836,10
CYP,Cyprus,2017,-0.15647485039104408,10.064394265141642,2.8629183769226074,10
CZE,Czech Republic,2017,2.3625792383560995,12.690991441720042,3.6658101081848145,9
DEU,Germany,2017,4.408111293709591,15.152058848181435,3.6704676151275635,10
DNK,Denmark,2017,1.7463350639753492,12.521874454318075,3.563044309616089,10
DOM,Dominican Republic,2017,2.3764857421092827,11.990281491168721,2.719550609588623,7
DZA,Algeria,2017,3.7213016756037676,13.27267007143283,2.3027994632720947,2
ECU,Ecuador,2017,2.810899096653318,12.082441193521785,2.74959659576416,5
EGY,Egypt,2017,4.580397398598723,13.907105093303473,2.617687940597534,-4
ESP,Spain,2017,3.8363145029021797,14.258375812743393,2.9438836574554443,10
EST,Estonia,2017,0.2697461387311102,10.483982615740349,3.6161255836486816,9
ETH,Ethiopia,2017,4.65355489280804,12.145293631913125,1.4146710634231567,-3
FIN,Finland,2017,1.70896302048244,12.284435842653577,3.466223955154419,10
FJI,Fiji,2017,-0.09926576939974288,8.926235682116609,2.681123971939087,2
FRA,France,2017,4.2080652670626355,14.757856583313432,3.190702438354492,9
GAB,Gabon,2017,0.7056373267319671,10.445718497798532,2.784540891647339,3
GBR,United Kingdom,2017,4.192402285573024,14.741752016731123,3.757822275161743,8
GHA,Ghana,2017,3.361542400644249,11.922868656479475,2.4648165702819824,8
GMB,Gambia,2017,0.7422078110579513,8.547439238488566,1.6192492246627808,4
GRC,Greece,2017,2.412315604857604,12.401811083748537,3.091254234313965,10
GTM,Guatemala,2017,2.8281123352306423,11.71708603673525,1.9098865985870361,8
HND,Honduras,2017,2.2262511020775198,10.64241628366115,2.3495230674743652,5
HRV,Croatia,2017,1.4325463041575845,11.425777942349566,3.5236642360687256,9
HTI,Haiti,2017,2.3961873449769255,9.865513772575921,1.703675389289856,5
HUN,Hungary,2017,2.274345952414657,12.405489238172654,3.3849503993988037,10
IDN,Indonesia,2017,5.575916504292891,14.897153681288787,2.3161394596099854,9
IND,India,2017,7.199812896594918,15.986753745371034,2.1238200664520264,9
IRL,Ireland,2017,1.5605957668950448,12.774678968642986,3.150712013244629,10
IRN,Iran (Islamic Republic of),2017,4.396456871083962,14.247532069180998,2.4238600730895996,-7
IRQ,Iraq,2017,3.644786915143518,13.301168446094925,2.262843132019043,6
ISR,Israel,2017,2.118850986592271,12.5110547909481,3.807067632675171,6
ITA,Italy,2017,4.083618938281982,14.565624856290462,3.1217148303985596,10
JAM,Jamaica,2017,1.0613599852827043,9.899324896787482,2.5891306400299072,9
JOR,Jordan,2017,2.272368384331308,11.410585296662134,2.874601125717163,-3
JPN,Japan,2017,4.847994406526174,15.429019373018848,3.572277784347534,10
KAZ,Kazakhstan,2017,2.901668722391046,13.002384307228258,3.135796546936035,-6
KEN,Kenya,2017,3.906002185288705,11.941789971779247,2.305269479751587,9
KGZ,Kyrgyzstan,2017,1.7992508224070982,10.3090881332383,3.453345775604248,8
KHM,Cambodia,2017,2.772924478436025,10.916713705294546,1.9021745920181274,-4
KOR,Republic of Korea,2017,3.931476788878531,14.450113283690735,3.6945011615753174,8
KWT,Kuwait,2017,1.419856792292087,12.509403278710849,2.243182897567749,-7
LAO,Lao People's DR,2017,1.9254391869444982,10.780953399156802,1.9111815690994263,-7
LBR,Liberia,2017,1.554328067895498,8.364151157881219,1.810959815979004,6
LKA,Sri Lanka,2017,3.0386440933654506,12.45883628361576,2.863889694213867,6
LSO,Lesotho,2017,0.8034978069525865,8.700535467333514,1.7581549882888794,8
LTU,Lithuania,2017,1.0613592428792546,11.247561643827247,3.262708902359009,10
LUX,Luxembourg,2017,-0.5387879062333185,10.398398853181407,3.51247239112854,10
LVA,Latvia,2017,0.6676601055128198,10.746383243157076,3.127119541168213,8
MAR,Morocco,2017,3.5762587090760447,12.611512857495098,1.8929409980773926,-4
MDA,Republic of Moldova,2017,1.3990160546218038,10.112451594961314,3.4503729343414307,9
MDG,Madagascar,2017,3.2414547609767963,10.571208646012634,1.7052282094955444,6
MEX,Mexico,2017,4.8610772555958635,14.589757425859428,2.7365002632141113,8
MLI,Mali,2017,2.9200373906451618,10.740620842325594,1.343654751777649,5
MMR,Myanmar,2017,3.977260206496677,12.612485221315715,1.8168261051177979,8
MNG,Mongolia,2017,1.1235153232507078,10.566455568547743,2.992147207260132,10
MOZ,Mozambique,2017,3.3900971577066525,10.394381557874441,1.217721939086914,5
MRT,Mauritania,2017,1.4861813548230036,9.578562481838043,1.7869350910186768,-2
MUS,Mauritius,2017,0.23518123089267037,10.16973803591142,2.60310959815979,10
MWI,Malawi,2017,2.9243492968671205,9.942648167729716,1.9573570489883423,6
MYS,Malaysia,2017,3.453924666568877,13.563385846135159,3.034125804901123,5
